pet_id,name,photo,pet_status,description,species_breed_id,date_of_birth,gender,postal_code,has_full_immune_shots,is_pregnant,average_rating,num_of_ratings,looking_for,register_time,is_neutered
32,Milo,null,healthy,Energetic and enjoys outdoor walks,58,2021-02-08,male,V5R4S8,1,0,3.98,29,playdate,2024-01-24 00:54,1
33,Chloe,null,healthy,Loves to run and play fetch,74,2019-10-20,female,V5R5G8,1,0,4.22,24,playdate,2024-05-11 01:54,1
34,Tucker,null,healthy,Friendly and playful,21,2020-07-15,male,V5R6H8,1,0,3.88,31,playdate,2024-02-27 21:25,1
35,Bailey,null,healthy,Loves to climb and explore,65,2018-05-03,female,V5S0H2,1,0,4.12,28,playdate,2024-01-15 15:11,1
36,Charlie,null,healthy,Sings beautifully in the morning,4,2021-03-31,male,V5R3W4,1,0,4.36,11,playdate,2024-04-15 15:50,1
37,Whisker,null,sick,Fierce but loving,49,2022-09-20,female,V6A0E3,0,0,4.03,19,playdate,2024-05-07 00:51,1
38,Chirpy,null,healthy,Soft and cuddly,80,2019-06-10,female,V5V4P4,1,0,4.67,30,mate,2024-04-04 14:35,1
39,Lumos,null,bad mood,Quiet and mysterious,27,2020-06-25,male,V5X2T9,1,0,3.75,14,mate,2024-02-13 05:00,1
40,Fluffy,null,healthy,Small but energetic,38,2022-11-02,female,V5R4J5,1,0,4.68,26,playdate,2024-05-24 02:16,1
41,Slither,null,healthy,Colorful and cheerful,17,2020-02-14,female,V5R4J6,1,0,4.21,10,playdate,2024-01-15 22:36,1
42,Nibbles,null,healthy,Protective and brave,9,2023-01-01,male,V5R4J8,1,0,4.58,38,playdate,2024-04-06 22:40,1
43,Tweety,null,healthy,Curious and playful,32,2019-07-21,female,V5X0J5,1,0,4.72,27,playdate,2024-03-26 03:34,1
44,Spike,null,healthy,Energetic and loyal,17,2018-10-30,male,V5Y0B7,1,0,4.85,39,playdate,2024-05-13 12:54,1
45,Bubbles,null,healthy,Loves to explore new places,14,2021-03-15,female,V5X2J4,1,0,4.73,32,playdate,2024-02-17 06:15,1
46,Nyx,null,healthy,Loves to dig and play,66,2020-01-10,male,V5Y0B7,1,0,4.35,24,mate,2024-02-10 13:38,1
47,Daisy,null,bad mood,Brave and protective with a big heart,3,2019-09-30,female,V5Z2C3,1,0,4.32,18,mate,2024-04-22 10:44,1
48,Tiny,null,healthy,Friendly and playful,46,2022-05-08,male,V6A4E1,1,0,4.1,13,playdate,2024-02-10 18:41,1
49,Saffron,null,sick,Loves to cuddle,41,2018-06-11,male,V6B0P4,1,0,4.82,38,playdate,2024-03-16 12:47,1
50,Bella,null,healthy,Energetic and curious,24,2020-05-20,female,V5N1Z9,1,0,4.5,45,playdate,2024-02-03 17:06,1
51,Charlie,null,bad mood,Loves outdoor activities,40,2019-08-12,male,V5S2G2,0,0,4.7,42,playdate,2024-03-29 11:56,1
52,Max,null,sick,Affectionate and gentle,82,2021-02-25,male,V5T2R8,1,0,4.6,37,playdate,2024-02-12 12:00,1
53,Luna,null,healthy,Loyal and protective,16,2018-11-30,female,V5N2T7,0,0,4.8,28,playdate,2024-04-23 18:03,1
54,Lucy,null,bad mood,Playful and intelligent,40,2020-07-14,female,V5N2Z9,1,0,4.9,34,playdate,2024-03-07 14:35,1
55,Cooper,null,sick,Gentle and sweet,67,2019-09-21,male,V5S3E8,0,0,4.4,30,playdate,2024-02-11 18:31,1
56,Milo,null,healthy,Energetic and playful,8,2020-01-10,male,V5T1Z9,1,0,4.7,39,playdate,2024-05-22 01:15,1
57,Daisy,null,bad mood,Protective and loyal,36,2019-04-05,female,V5N2G2,1,0,4.5,41,playdate,2024-02-17 17:05,1
58,Bailey,null,sick,Friendly and active,70,2018-03-22,female,V5S2R8,0,0,4.6,36,mate,2024-03-21 06:20,1
59,Rocky,null,healthy,Curious and playful,23,2020-08-16,male,V5T2T7,1,0,4.8,48,playdate,2024-02-01 00:13,1
60,Zoe,null,bad mood,Loves to explore,52,2019-06-14,female,V5N2Z9,1,0,4.7,30,playdate,2024-05-16 00:54,1
61,Oscar,null,sick,Playful and energetic,79,2018-12-01,male,V5S3E8,0,0,4.5,29,playdate,2024-01-18 00:31,1
62,Sadie,null,healthy,Affectionate and friendly,13,2021-04-20,female,V5T1Z9,1,0,4.9,34,playdate,2024-01-28 22:00,1
63,Buddy,null,bad mood,Loves to run and play,55,2018-05-10,male,V5N2G2,1,0,4.6,35,playdate,2024-02-19 22:23,1
64,Lola,null,sick,Gentle and loving,75,2020-09-12,female,V5S2R8,0,0,4.7,39,playdate,2024-03-25 21:19,1
65,Jack,null,healthy,Playful and energetic,17,2019-11-22,male,V5T2T7,1,0,4.5,42,playdate,2024-04-22 06:50,1
66,Chloe,null,bad mood,Loyal and protective,43,2021-01-07,female,V5N2Z9,1,0,4.9,48,playdate,2024-04-13 05:51,1
67,Toby,null,sick,Curious and playful,63,2020-02-14,male,V5S3E8,0,0,4.6,44,playdate,2024-03-22 01:56,1
68,Riley,null,healthy,Loves to explore,10,2018-07-19,female,V5T1Z9,1,0,4.8,32,playdate,2024-04-19 12:45,1
69,Buster,null,bad mood,Playful and energetic,48,2019-03-25,male,V5N2G2,1,0,4.7,30,playdate,2024-03-22 01:40,1
70,Lily,null,sick,Affectionate and gentle,28,2020-06-01,female,V5S2R8,0,0,4.9,34,playdate,2024-01-03 21:43,1
71,Duke,null,healthy,Loyal and protective,18,2019-12-30,male,V5T2T7,1,0,4.6,39,playdate,2024-03-22 05:36,1
72,Zoey,null,bad mood,Friendly and playful,20,2018-08-16,female,V5N2Z9,1,0,4.7,33,playdate,2024-02-18 04:56,1
73,Bentley,null,sick,Loves to cuddle,59,2021-09-12,male,V5S3E8,0,0,4.5,45,playdate,2024-02-28 00:30,1
74,Daisy,null,healthy,Energetic and curious,35,2019-05-20,female,V5T1Z9,1,0,4.7,31,playdate,2024-03-18 06:48,1
75,Murphy,null,bad mood,Loves outdoor activities,60,2020-08-12,female,V5N2G2,1,0,4.9,46,playdate,2024-04-13 20:40,1
76,Coco,null,sick,Affectionate and gentle,25,2021-02-25,male,V5S2R8,0,0,4.6,40,playdate,2024-01-10 02:57,1
77,Molly,null,healthy,Loyal and protective,77,2018-11-30,female,V5T2T7,1,0,4.8,35,playdate,2024-03-12 03:00,1
78,Teddy,null,bad mood,Playful and intelligent,44,2020-07-14,male,V5N2Z9,1,0,4.9,47,playdate,2024-01-25 12:49,1
79,Lola,null,sick,Gentle and sweet,30,2019-09-21,male,V5S3E8,0,0,4.4,29,playdate,2024-05-09 19:19,1
80,Oliver,null,healthy,Energetic and playful,69,2020-01-10,male,V5T1Z9,1,0,4.7,36,playdate,2024-04-21 14:01,1
81,Harley,null,bad mood,Protective and loyal,26,2019-04-05,female,V5N2G2,1,0,4.5,37,playdate,2024-01-29 07:00,1
82,Zeus,null,sick,"Quick and agile, loves to bask in the sun.",51,2018-03-22,female,V5S2R8,0,0,4.6,35,playdate,2024-03-20 19:51,1
83,Maggie,null,healthy,"Sings beautifully, adding joy to the home.",39,2020-08-16,male,V5T2T7,1,0,4.8,48,playdate,2024-02-14 17:52,1
84,Nala,null,bad mood,"Small and gentle, enjoys cuddling.",57,2019-06-14,female,V5N2Z9,1,0,4.7,39,playdate,2024-05-19 17:40,1
85,Winston,null,sick,"Tiny and curious, loves exploring.",42,2018-12-01,male,V5S3E8,0,0,4.5,28,playdate,2024-04-16 19:47,1
86,Sophie,null,healthy,"Intelligent and playful, loves socializing.",91,2021-04-20,female,V5T1Z9,1,0,4.9,34,playdate,2024-01-15 01:39,1
87,Rusty,null,bad mood,"Agile climber, enjoys exploring high places.",87,2018-05-10,male,V5N2G2,1,0,4.6,38,playdate,2024-03-31 17:24,1
88,Ellie,null,sick,"Calm and gentle, enjoys being handled.",84,2020-09-12,female,V5S2R8,0,0,4.7,41,playdate,2024-01-23 08:41,1
89,Sam,null,healthy,"Active and colorful, enjoys climbing.",93,2019-11-22,male,V5T2T7,1,0,4.5,42,playdate,2024-05-13 00:12,1
90,Penny,null,bad mood,"Large and powerful, enjoys swimming.",88,2021-01-07,male,V5N2Z9,1,0,4.9,45,playdate,2024-04-18 09:24,1
91,Henry,null,sick,"Fast and alert, loves to hunt insects.",96,2020-02-14,female,V5S3E8,0,0,4.6,36,playdate,2024-03-04 10:51,1
92,Duke,null,healthy,"Friendly and docile, enjoys human interaction.",89,2018-07-19,male,V5T1Z9,1,0,4.8,32,playdate,2024-04-13 07:05,1
93,Lola,null,bad mood,"Energetic and playful, loves exploring.",100,2019-03-25,female,V5N2G2,1,0,4.7,29,playdate,2024-01-07 21:47,1
94,Oscar,null,sick,"Affectionate and social, loves attention.",92,2020-06-01,female,V5S2R8,0,0,4.9,34,playdate,2024-05-23 20:51,1
95,Molly,null,healthy,"Active and playful, enjoys climbing.",86,2019-12-30,male,V5T2T7,1,0,4.6,39,playdate,2024-03-29 02:23,1
96,Bailey,null,bad mood,"Social and intelligent, loves human interaction.",98,2018-08-16,female,V5N2Z9,1,0,4.7,33,playdate,2024-01-22 22:32,1
97,Teddy,null,sick,"Active and intelligent, loves playing.",90,2021-09-12,male,V5S3E8,0,0,4.5,40,playdate,2024-03-19 11:43,1
98,Luna,null,healthy,"Calm and friendly, enjoys human interaction.",95,2019-05-20,female,V5T1Z9,1,0,4.7,37,playdate,2024-01-04 08:59,1
99,Jack,null,bad mood,"Playful and intelligent, loves training.",97,2020-08-12,male,V5N2G2,1,0,4.9,46,playdate,2024-05-17 05:24,1
100,Lucy,null,sick,"Calm and gentle, enjoys being petted.",94,2021-02-25,female,V5S2R8,0,0,4.6,40,playdate,2024-04-12 15:20,1
101,Shadow,null,healthy,Playful and loves to chase toys.,44,2021-07-25,Female,V5L4S1,0,0,4.02,12,date,2024-03-25 10:05,1
102,Sunny,null,healthy,Enjoys lounging in sunny spots.,76,2020-03-21,Male,V5M1Y4,1,0,4.53,16,playdate,2024-04-15 14:30,1
103,Simba,null,healthy,Curious and loves to explore.,32,2019-12-15,Male,V5M1Z1,1,0,4.68,25,playdate,2024-03-28 10:37,1
104,Milo,null,healthy,Loves a good scratch behind the ears.,41,2021-04-08,Male,V5M1Z7,1,0,4.67,21,playdate,2024-03-12 12:40,1
105,Lola,null,healthy,Energetic and loves to run around.,56,2022-10-22,Female,V5M2A1,1,0,4.31,26,date,2024-04-17 13:45,1
106,Ziggy,null,bad mood,Gentle and enjoys being brushed.,24,2020-08-30,Female,V5M2B2,1,0,4.62,31,playdate,2024-03-02 14:40,1
107,Peanut,null,healthy,Loves to cuddle and nap.,28,2023-05-05,Male,V5M3T4,1,0,4.38,10,playdate,2024-04-04 14:50,1
108,Gizmo,null,healthy,Adventurous and loves to climb.,21,2022-06-06,Female,V5N1C1,1,0,4.46,21,playdate,2024-04-28 15:20,1
109,Finn,null,healthy,Always ready for a treat.,17,2021-03-03,Male,V5N1L7,1,0,4.59,15,playdate,2024-04-21 16:00,1
110,Athena,null,healthy,Enjoys quiet time and relaxation.,4,2018-10-08,Female,V5N1W6,0,0,4.41,9,date,2024-05-11 13:21,1
111,Zephyr,null,healthy,Loves to play hide and seek.,8,2023-12-23,Male,V5N1Z9,1,0,4.52,26,playdate,2024-02-26 15:15,1
112,Shadow,null,healthy,Friendly and loves meeting new friends.,10,2021-07-25,Female,V5N2G2,0,0,4.02,12,date,2024-03-25 10:05,1
113,Sunny,null,healthy,Protective and always alert.,8,2020-03-21,Male,V5N2R8,1,0,4.53,16,playdate,2024-04-15 14:30,1
114,Simba,null,healthy,Loves to snuggle under blankets.,38,2019-12-15,Male,V5N2T7,1,0,4.68,25,playdate,2024-03-28 10:37,1
115,Milo,null,healthy,Energetic and loves to play fetch.,55,2021-04-08,Male,V5N2Z9,1,0,4.67,21,playdate,2024-03-12 12:40,1
116,Lola,null,healthy,Playful and loves to chase toys.,38,2022-10-22,Female,V5N3E8,1,0,4.31,26,date,2024-04-17 13:45,1
